Currency,Selling TT/OD,Buying TT,Buying OD,Selling Notes,Buying Notes,Date
1 AUSTRALIAN DOLLAR,2.9060,2.7880,2.7720,2.9410,2.7090,2024-12-10
1 BRUNEI DOLLAR,3.3530,3.2560,3.2480,3.4440,3.2330,2024-12-10
1 CANADIAN DOLLAR,3.1670,3.0820,3.0700,3.1990,2.9710,2024-12-10
1 EURO,4.7510,4.5970,4.5770,4.7610,4.4440,2024-12-10
1 NEW ZEALAND DOLLAR,2.6390,2.5420,2.5260,2.7770,2.4390,2024-12-10
1 P NEW GUINEA KINA,N/A,N/A,N/A,N/A,N/A,2024-12-10
1 SINGAPORE DOLLAR,3.3530,3.2560,3.2480,3.4440,3.2330,2024-12-10
1 POUND STERLING,5.7370,5.5550,5.5350,5.8380,5.3690,2024-12-10
1 SWISS FRANC,5.1520,4.9320,4.9170,5.1610,4.7190,2024-12-10
100 BANGLADESH TAKA,3.8370,3.5730,3.3730,N/A,N/A,2024-12-10
100 DANISH KRONER,65.3000,60.1000,59.9000,N/A,N/A,2024-12-10
100 HONGKONG DOLLAR,58.4000,55.5000,55.3000,58.6000,50.5600,2024-12-10
100 INDIAN RUPEE,5.3800,5.0500,4.8500,N/A,N/A,2024-12-10
100 INDONESIAN RUPIAH,0.0293,0.0265,0.0215,0.0305,0.0240,2024-12-10
100 JAPANESE YEN,2.9770,2.8810,2.8710,3.1500,2.7200,2024-12-10
100 NORWEGIAN KRONER,41.4700,38.1500,37.9500,44.6100,28.6800,2024-12-10
100 PAKISTAN RUPEE,1.6400,1.5400,1.3400,2.4300,1.4000,2024-12-10
100 PHILIPPINES PESO,7.8700,7.4200,7.2200,7.8800,7.4000,2024-12-10
100 SAUDI ARABIAN RIYAL,120.9000,114.7700,114.5700,120.0800,103.9000,2024-12-10
100 SOUTH AFRICAN RAND,26.1700,23.6400,23.4400,33.2900,23.1000,2024-12-10
100 SRI LANKA RUPEE,1.5900,1.4600,1.2600,1.5500,0.7200,2024-12-10
100 SWEDISH KRONER,42.4900,38.7000,38.5000,N/A,N/A,2024-12-10
100 THAILAND BAHT,13.9300,12.3600,11.9600,13.8200,11.6900,2024-12-10
1 US DOLLAR,4.4925,4.3585,4.3485,4.5800,4.3380,2024-12-10
100 ARAB EMIRATES DIRHAM,123.7400,117.3300,117.1300,123.5700,115.9400,2024-12-10
100 QATAR RIYAL,124.6000,118.2800,118.0800,N/A,N/A,2024-12-10
100 NEW TAIWAN DOLLAR,14.9000,N/A,N/A,14.1600,12.7800,2024-12-10
100 CHINESE RENMINBI,62.3800,59.7500,N/A,N/A,N/A,2024-12-10
